ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,arrivals,arrivals_lower,arrivals_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rainfall,rainfall_lower,rainfall_upper,temperature,temperature_lower,temperature_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-01-12,1624.576937059973,1528.3493922791704,1706.6678572651504,1575.59728254258,1669.8504938414915,-7.242086605553831,-7.242086605553831,-7.242086605553831,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.874719522102433,-4.874719522102433,-4.874719522102433,0.0,0.0,0.0,1617.3348504544192
2026-01-13,1624.6087450277748,1534.1556877746098,1700.02536435833,1575.5762560404357,1670.0183311740616,-6.705499225810272,-6.705499225810272,-6.705499225810272,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.338132142358874,-4.338132142358874,-4.338132142358874,0.0,0.0,0.0,1617.9032458019647
2026-01-14,1624.6405529955769,1533.4303207975017,1703.4403193143958,1575.4177199455635,1670.1861685066317,-3.469515118500709,-3.469515118500709,-3.469515118500709,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-1.1021480350493111,-1.1021480350493111,-1.1021480350493111,0.0,0.0,0.0,1621.171037877076
2026-01-15,1624.6723609633784,1543.8253440872545,1723.5876198617188,1575.259183850691,1670.3534604986846,12.49062577409265,12.49062577409265,12.49062577409265,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,14.857992857544048,14.857992857544048,14.857992857544048,0.0,0.0,0.0,1637.162986737471
2026-01-16,1624.7041689311804,1544.064914954997,1718.2603492923818,1575.1029383194498,1670.5110628722098,8.041016736088151,8.041016736088151,8.041016736088151,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,10.40838381953955,10.40838381953955,10.40838381953955,0.0,0.0,0.0,1632.7451856672685
2026-01-17,1624.7359768989822,1527.6863524296064,1698.3552314719238,1575.0155596438287,1670.667793833199,-7.207949583012794,-7.207949583012794,-7.207949583012794,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.840582499561395,-4.840582499561395,-4.840582499561395,0.0,0.0,0.0,1617.5280273159694
2026-01-18,1624.7677848667843,1522.7340252462993,1691.914937030266,1574.9676868785757,1670.8245247941886,-12.4781615613986,-12.4781615613986,-12.4781615613986,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-10.1107944779472,-10.1107944779472,-10.1107944779472,0.0,0.0,0.0,1612.2896233053857
2026-01-19,1624.799592834586,1530.1384285671616,1707.7095493737945,1574.9198141133227,1670.981255755178,-7.242086605545434,-7.242086605545434,-7.242086605545434,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.874719522094035,-4.874719522094035,-4.874719522094035,0.0,0.0,0.0,1617.5575062290407
2026-01-20,1624.831400802388,1523.627620713724,1708.5188864090812,1574.8494319683552,1671.1378854165066,-6.70549922581592,-6.70549922581592,-6.70549922581592,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.338132142364523,-4.338132142364523,-4.338132142364523,0.0,0.0,0.0,1618.1259015765722
2026-01-21,1624.8632087701899,1530.6994923640952,1709.9805574533793,1574.7319257957315,1671.2944137781747,-3.4695151184923465,-3.4695151184923465,-3.4695151184923465,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-1.1021480350409485,-1.1021480350409485,-1.1021480350409485,0.0,0.0,0.0,1621.3936936516975
2026-01-22,1624.8950167379917,1552.7512578508154,1718.606358533763,1574.614419623108,1671.4509421398427,12.49062577406137,12.49062577406137,12.49062577406137,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,14.857992857512766,14.857992857512766,14.857992857512766,0.0,0.0,0.0,1637.385642512053
2026-01-23,1624.9268247057935,1545.0206051923142,1716.0061782208338,1574.499263844408,1671.6074705015108,8.04101673607467,8.04101673607467,8.04101673607467,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,10.40838381952607,10.40838381952607,10.40838381952607,0.0,0.0,0.0,1632.9678414418681
2026-01-24,1624.9586326735955,1527.138440065372,1704.1859280595759,1574.3864584596313,1671.763998863179,-7.207949583024676,-7.207949583024676,-7.207949583024676,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-4.840582499573278,-4.840582499573278,-4.840582499573278,0.0,0.0,0.0,1617.7506830905709
2026-01-25,1624.9904406413973,1526.3787909257137,1693.456203223712,1574.2736530748548,1671.920527224847,-12.478161561402008,-12.478161561402008,-12.478161561402008,-1.3347122490670524,-1.3347122490670524,-1.3347122490670524,-2.367367083451398,-2.367367083451398,-2.367367083451398,-0.26972463997340246,-0.26972463997340246,-0.26972463997340246,-0.7629301944109431,-0.7629301944109431,-0.7629301944109431,-10.11079447795061,-10.11079447795061,-10.11079447795061,0.0,0.0,0.0,1612.5122790799953
