ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,arrivals,arrivals_lower,arrivals_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rainfall,rainfall_lower,rainfall_upper,temperature,temperature_lower,temperature_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-01-01,2275.3957473839055,2025.598280720009,2556.026835827914,2274.538452589348,2276.3045768332013,17.044507002220072,17.044507002220072,17.044507002220072,-2.3721037404690013,-2.3721037404690013,-2.3721037404690013,5.517129011730794,5.517129011730794,5.517129011730794,-1.7922006488766384,-1.7922006488766384,-1.7922006488766384,9.681433401076433,9.681433401076433,9.681433401076433,11.527377990489278,11.527377990489278,11.527377990489278,0.0,0.0,0.0,2292.4402543861256
2026-01-02,2275.439870717282,2003.375411956627,2549.30629395209,2274.580334920016,2276.3502615491598,12.533711312890413,12.533711312890413,12.533711312890413,-2.3721037404690013,-2.3721037404690013,-2.3721037404690013,5.517129011730794,5.517129011730794,5.517129011730794,-1.7922006488766384,-1.7922006488766384,-1.7922006488766384,9.681433401076433,9.681433401076433,9.681433401076433,7.016582301159621,7.016582301159621,7.016582301159621,0.0,0.0,0.0,2287.973582030172
2026-01-03,2275.483994050658,2066.732042976618,2596.1304288090278,2274.622196396108,2276.395918772793,38.122290173442174,38.122290173442174,38.122290173442174,-2.3721037404690013,-2.3721037404690013,-2.3721037404690013,5.517129011730794,5.517129011730794,5.517129011730794,-1.7922006488766384,-1.7922006488766384,-1.7922006488766384,9.681433401076433,9.681433401076433,9.681433401076433,32.605161161711386,32.605161161711386,32.605161161711386,0.0,0.0,0.0,2313.6062842241004
2026-01-04,2275.5281173840344,1986.219978968463,2494.6992190517435,2274.6640578722,2276.441515968839,-28.062515956762805,-28.062515956762805,-28.062515956762805,-2.3721037404690013,-2.3721037404690013,-2.3721037404690013,5.517129011730794,5.517129011730794,5.517129011730794,-1.7922006488766384,-1.7922006488766384,-1.7922006488766384,9.681433401076433,9.681433401076433,9.681433401076433,-33.5796449684936,-33.5796449684936,-33.5796449684936,0.0,0.0,0.0,2247.465601427272
2026-01-05,2275.5722407174108,2027.1462847855937,2547.5328270481236,2274.7059259649304,2276.4870144091615,15.43932462404684,15.43932462404684,15.43932462404684,-2.3721037404690013,-2.3721037404690013,-2.3721037404690013,5.517129011730794,5.517129011730794,5.517129011730794,-1.7922006488766384,-1.7922006488766384,-1.7922006488766384,9.681433401076433,9.681433401076433,9.681433401076433,9.922195612316049,9.922195612316049,9.922195612316049,0.0,0.0,0.0,2291.0115653414578
2026-01-06,2275.616364050787,2029.9052395873312,2541.875215110042,2274.7478007347154,2276.5327890045546,12.401925206014495,12.401925206014495,12.401925206014495,-2.3721037404690013,-2.3721037404690013,-2.3721037404690013,5.517129011730794,5.517129011730794,5.517129011730794,-1.7922006488766384,-1.7922006488766384,-1.7922006488766384,9.681433401076433,9.681433401076433,9.681433401076433,6.884796194283701,6.884796194283701,6.884796194283701,0.0,0.0,0.0,2288.0182892568014
2026-01-07,2275.6604873841634,1978.4191113444494,2513.8868169331295,2274.789675564917,2276.5810891026504,-28.8593392799865,-28.8593392799865,-28.8593392799865,-2.3721037404690013,-2.3721037404690013,-2.3721037404690013,5.517129011730794,5.517129011730794,5.517129011730794,-1.7922006488766384,-1.7922006488766384,-1.7922006488766384,9.681433401076433,9.681433401076433,9.681433401076433,-34.376468291717295,-34.376468291717295,-34.376468291717295,0.0,0.0,0.0,2246.8011481041767
2026-01-08,2275.7046107175393,2024.8659803147802,2561.1599190404413,2274.831550395118,2276.6282276192974,17.04450700217966,17.04450700217966,17.04450700217966,-2.3721037404690013,-2.3721037404690013,-2.3721037404690013,5.517129011730794,5.517129011730794,5.517129011730794,-1.7922006488766384,-1.7922006488766384,-1.7922006488766384,9.681433401076433,9.681433401076433,9.681433401076433,11.527377990448867,11.527377990448867,11.527377990448867,0.0,0.0,0.0,2292.749117719719
2026-01-09,2275.7487340509156,2023.8705531140579,2543.7636382774476,2274.873971793734,2276.6735740618205,12.533711312919081,12.533711312919081,12.533711312919081,-2.3721037404690013,-2.3721037404690013,-2.3721037404690013,5.517129011730794,5.517129011730794,5.517129011730794,-1.7922006488766384,-1.7922006488766384,-1.7922006488766384,9.681433401076433,9.681433401076433,9.681433401076433,7.01658230118829,7.01658230118829,7.01658230118829,0.0,0.0,0.0,2288.2824453638345
2026-01-10,2275.792857384292,2068.0345077772376,2583.801907560148,2274.9165825450646,2276.7186776344133,38.12229017340112,38.12229017340112,38.12229017340112,-2.3721037404690013,-2.3721037404690013,-2.3721037404690013,5.517129011730794,5.517129011730794,5.517129011730794,-1.7922006488766384,-1.7922006488766384,-1.7922006488766384,9.681433401076433,9.681433401076433,9.681433401076433,32.60516116167033,32.60516116167033,32.60516116167033,0.0,0.0,0.0,2313.915147557693
2026-01-11,2275.836980717668,1990.4803274941157,2519.423006744103,2274.959193296394,2276.763781207007,-28.062515956852206,-28.062515956852206,-28.062515956852206,-2.3721037404690013,-2.3721037404690013,-2.3721037404690013,5.517129011730794,5.517129011730794,5.517129011730794,-1.7922006488766384,-1.7922006488766384,-1.7922006488766384,9.681433401076433,9.681433401076433,9.681433401076433,-33.579644968583004,-33.579644968583004,-33.579644968583004,0.0,0.0,0.0,2247.774464760816
