ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,arrivals,arrivals_lower,arrivals_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rainfall,rainfall_lower,rainfall_upper,temperature,temperature_lower,temperature_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-01-15,1794.4828798334013,1710.295189659297,1886.3763721158398,1739.6949324316092,1849.1572181269553,0.6328200264770966,0.6328200264770966,0.6328200264770966,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,4.698860921430534,4.698860921430534,4.698860921430534,0.0,0.0,0.0,1795.1156998598783
2026-01-16,1794.6468534053809,1700.9933063551741,1876.515493476306,1739.7421480363678,1849.377040351742,-3.53565027907333,-3.53565027907333,-3.53565027907333,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,0.5303906158801082,0.5303906158801082,0.5303906158801082,0.0,0.0,0.0,1791.1112031263076
2026-01-17,1794.8108269773604,1688.2005192162385,1868.851551071742,1739.789942649999,1849.5971539601762,-15.613407654112828,-15.613407654112828,-15.613407654112828,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,-11.547366759159388,-11.547366759159388,-11.547366759159388,0.0,0.0,0.0,1779.1974193232477
2026-01-18,1794.9748005493402,1709.682668735098,1890.7806351767495,1739.8377372636305,1849.8172675686103,7.866750161327878,7.866750161327878,7.866750161327878,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,11.932791056281317,11.932791056281317,11.932791056281317,0.0,0.0,0.0,1802.8415507106681
2026-01-19,1795.1387741213196,1707.8221944509075,1893.5099494907836,1739.9029066228777,1850.0501803940467,0.07025131404547828,0.07025131404547828,0.07025131404547828,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,4.136292208998917,4.136292208998917,4.136292208998917,0.0,0.0,0.0,1795.209025435365
2026-01-20,1795.3027476932991,1699.600729519821,1881.143660580677,1739.984942501419,1850.331284285713,-3.611027859211917,-3.611027859211917,-3.611027859211917,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,0.4550130357415214,0.4550130357415214,0.4550130357415214,0.0,0.0,0.0,1791.6917198340873
2026-01-21,1795.466721265279,1692.906293199755,1875.0936263995602,1740.0669783799606,1850.611978059855,-14.272021974048824,-14.272021974048824,-14.272021974048824,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,-10.205981079095386,-10.205981079095386,-10.205981079095386,0.0,0.0,0.0,1781.19469929123
2026-01-22,1795.6306948372583,1711.7189575429866,1880.550399116604,1740.149014258502,1850.8922617164721,0.6328200264954852,0.6328200264954852,0.6328200264954852,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,4.698860921448923,4.698860921448923,4.698860921448923,0.0,0.0,0.0,1796.2635148637537
2026-01-23,1795.794668409238,1701.3562953461803,1886.7711365324685,1740.2280357590919,1851.1499100513836,-3.53565027911539,-3.53565027911539,-3.53565027911539,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,0.5303906158380481,0.5303906158380481,0.5303906158380481,0.0,0.0,0.0,1792.2590181301227
2026-01-24,1795.9586419812176,1692.024214019859,1874.2478756115593,1740.3040428817299,1851.3872583507857,-15.6134076541167,-15.6134076541167,-15.6134076541167,-5.096744011038927,-5.096744011038927,-5.096744011038927,-4.066040894953439,-4.066040894953439,-4.066040894953439,0.9416936962869175,0.9416936962869175,0.9416936962869175,0.08900941979857133,0.08900941979857133,0.08900941979857133,-11.547366759163262,-11.547366759163262,-11.547366759163262,0.0,0.0,0.0,1780.345234327101
